,text_sizes,LZ77 encoding time,LZ77 decoding time,LZ77 compression rates,LZW encoding time,LZW decoding time,LZW compression rates
0,6681,1.5416374206542969,0.0020008087158203125,52.24020642739855,0.0019991397857666016,0.0010004043579101562,64.33936825885979
1,6605,1.3069915771484375,0.0010001659393310547,52.608522500995626,0.0019998550415039062,0.0010001659393310547,64.02675455602946
2,6436,1.3532390594482422,0.0009996891021728516,51.55811904189698,0.002000093460083008,0.0010001659393310547,64.05254777070064
3,6610,1.447697401046753,0.001001596450805664,51.28801986343886,0.0029702186584472656,0.0009982585906982422,62.12406015037594
4,5764,1.0860011577606201,0.0010004043579101562,49.493388287824146,0.0019996166229248047,0.002016305923461914,59.89193682460515
5,6916,1.5231132507324219,0.0010006427764892578,51.81688769011763,0.0019996166229248047,0.0010008811950683594,64.37081161578556
6,5857,0.9791049957275391,0.0009851455688476562,49.63979998304941,0.0029592514038085938,0.0010437965393066406,61.80878007598143
7,9092,2.4668376445770264,0.0009741783142089844,52.20786678151019,0.002998828887939453,0.0010004043579101562,65.44773970630578
8,6147,1.308917760848999,0.0010075569152832031,49.96342355523043,0.001983165740966797,0.000997781753540039,62.31751824817518
9,8051,1.8083980083465576,0.0020003318786621094,54.98190261558423,0.0030074119567871094,0.002001047134399414,67.13642428285523
