,text_sizes,LZ77 encoding time,LZ77 decoding time,LZ77 compression rates,LZW encoding time,LZW decoding time,LZW compression rates
0,6326,0.7019710540771484,0.0,82.88784067085953,0.0030031204223632812,0.0009980201721191406,68.88066202090593
1,13401,2.5514800548553467,0.0016028881072998047,102.2664835164835,0.005959749221801758,0.0022497177124023438,81.29701528755156
2,14800,3.0904459953308105,0.0010004043579101562,105.14350667803353,0.00500035285949707,0.003004312515258789,79.98270644185041
3,10892,2.1894304752349854,0.0029761791229248047,78.28086819031192,0.009002685546875,0.004033327102661133,72.38171185539606
4,9629,1.6187033653259277,0.0009992122650146484,89.23176721341859,0.003000020980834961,0.001973390579223633,72.6826690821256
5,13822,4.666043758392334,0.002028942108154297,68.74564806525414,0.0049724578857421875,0.002997875213623047,69.27626303127506
6,6891,1.1300036907196045,0.000993490219116211,70.82947887758249,0.0020303726196289062,0.0019996166229248047,65.4540273556231
7,13646,1.0126996040344238,0.0009999275207519531,173.2825396825397,0.005998134613037109,0.0019998550415039062,82.76322173702087
8,13735,2.33722186088562,0.0010018348693847656,115.26518966096005,0.003999471664428711,0.0009992122650146484,87.32833163784333
9,30194,13.652603387832642,0.0030014514923095703,87.25328709724029,0.009000062942504883,0.003998517990112305,82.41620264220984
