,text_sizes,LZ77 encoding time,LZ77 decoding time,LZ77 compression rates,LZW encoding time,LZW decoding time,LZW compression rates
0,3406,0.30803370475769043,0.0,55.166828636216394,0.0009965896606445312,0.0010008811950683594,58.724137931034484
1,6714,1.0477325916290283,0.0010039806365966797,65.20979020979021,0.004008054733276367,0.0029990673065185547,69.58955223880598
2,13462,4.1825270652771,0.002000093460083008,77.82402589894785,0.00400090217590332,0.0010006427764892578,84.22172172172172
3,20371,7.62250828742981,0.0030002593994140625,83.70726495726495,0.00500035285949707,0.0029993057250976562,94.8017498138496
4,27171,12.590365648269653,0.0030014514923095703,88.04316127150773,0.007999181747436523,0.003000020980834961,102.79585351089588
5,33777,21.680204391479492,0.0040051937103271484,89.82766874102441,0.008994817733764648,0.004000186920166016,109.73684210526315
6,10121,2.1341612339019775,0.002001523971557617,72.2257903375437,0.002999544143676758,0.0010001659393310547,78.21483771251933
7,17027,5.974393129348755,0.0019974708557128906,80.60881503574304,0.0049991607666015625,0.003000974655151367,90.39605011679762
8,23438,9.498910665512085,0.0029993057250976562,83.04280045351474,0.0069997310638427734,0.0030007362365722656,98.36327010240053
9,30464,14.537882566452026,0.0030035972595214844,88.58646660269272,0.007997274398803711,0.003999233245849609,106.01336302895324
